Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.25,3.23,1.23,1.08,K2III,15.796013,0
6.0,3.55,0.76,1.515,M2II/III,13.751142,0
8.76,3.32,1.47,0.399,F0V,16.36569,1
7.12,5.89,0.74,0.228,A4III,15.970576,0
8.05,10.44,1.95,0.403,F0/F2V,18.143503,1
6.6,6.32,0.86,1.032,K0III,15.603586,0
4.92,22.79,1.12,0.255,A5V,16.708721,1
8.55,5.9,1.39,0.967,G6/G8III,17.40426,0
8.38,10.1,0.97,0.478,F5V,18.401608,1
7.24,5.41,0.72,0.944,G8III,15.905986,0
6.62,17.62,0.95,0.479,F6V,17.850029,1
7.75,0.21,0.88,-0.023,B7/B8III,9.361096,0
8.42,0.1,0.93,-0.157,B1.5Vn...,8.42,1
8.23,1.13,1.08,2.42,C5II,13.495392,0
7.95,2.03,0.82,1.626,K4III,14.48748,0
8.56,3.72,1.19,0.677,GIII+...,16.412716,0
8.79,4.66,1.28,0.946,G8IV,17.131931,1
8.99,6.99,1.24,0.549,F6V,18.212385,1
5.9,6.7,0.86,-0.071,B8V,15.030375,1
7.2,2.18,0.72,1.34,K2III,13.8922825,0
7.34,2.46,1.41,-0.4,B8II,14.294676,0
9.07,1.7,1.57,1.344,G8III+...,15.222244,0
8.19,9.21,0.7,1.048,K1III,18.0113,0
8.24,3.0,0.88,1.384,K3III,15.625607,0
8.07,6.14,1.01,0.474,F5V,17.010841,1
7.36,7.2,1.04,1.484,K3III,16.646662,0
8.02,4.27,1.06,0.232,A2III,16.17214,0
8.93,9.88,1.18,0.607,G2/G3V,18.903786,1
6.43,2.96,0.55,0.288,A8III,13.786459,0
7.17,7.02,0.75,0.229,A5IV,16.401686,1
5.92,3.87,0.8,1.535,K5III,13.858555,0
8.97,3.02,0.8,0.934,G8III/IV,16.370035,1
4.8,13.39,0.82,0.913,F5V+...,15.433903,1
6.05,9.65,0.97,1.045,K0III,15.972637,0
9.78,6.35,1.03,0.46,F0V,18.793869,1
8.93,1.52,0.81,1.657,K5/M0III:,14.839218,0
7.89,5.33,0.94,0.236,A5V,16.523636,1
8.49,6.71,1.13,0.475,F2/F3V,17.623611,1
7.99,4.49,0.84,1.147,G8III,16.251232,0
7.13,5.36,0.68,1.135,K0III,15.775825,0
8.62,3.6,1.17,0.992,G6III,16.401512,0
6.2,4.66,0.63,1.435,M4/M5III,14.54193,0
10.17,-0.15,1.47,-0.17,O9.5V,11.050457,1
8.16,5.6,2.28,0.582,G0V,16.90094,1
7.92,1.34,1.05,0.128,B2III,13.555524,0
7.53,18.44,0.83,0.642,G0V,18.858805,1
7.82,8.9,0.9,0.309,A9/F0IV,17.56695,1
8.33,2.81,1.11,1.099,K0III,15.573532,0
8.82,3.18,1.16,0.037,B9V,16.332134,1
6.47,7.29,0.83,1.22,K3III,15.783638,0
9.3,6.01,1.64,1.169,K1/K2III,18.194374,0
6.84,17.0,0.58,0.568,F8V,17.992245,1
5.12,13.9,0.92,1.082,K0III,15.835074,0
9.65,34.18,1.7,1.13,K7V:,22.31886,1
8.03,3.84,1.2,1.682,M0/M1IV,15.951656,1
8.14,5.39,1.46,0.364,F0V,16.797943,1
9.48,1.79,0.93,1.142,M7IIIe,15.744265,0
6.38,7.08,1.05,0.986,G9III,15.630166,0
7.61,8.2,0.88,0.166,A0III/IV,17.17907,1
6.17,8.88,0.67,1.058,K0III,15.912065,0
6.93,6.01,0.73,0.234,A5/A6IV/V,15.824373,1
8.79,2.51,1.22,1.14,K2III,15.788368,0
7.89,2.0,0.61,1.035,G3III,14.39515,0
9.08,2.01,0.84,0.093,A0Vs,15.59598,1
7.75,2.95,0.89,-0.039,B8III,15.09911,0
9.92,16.33,1.79,0.991,K0/K1V,20.984932,1
8.88,4.92,1.18,1.031,K2V,17.339825,1
8.69,11.97,1.25,0.544,G1V,19.080471,1
6.17,15.53,0.83,1.009,K0III,17.125858,0
9.03,1.91,0.86,0.434,F3V,15.435167,1
6.54,17.96,0.87,0.448,F6V,17.811531,1
7.68,1.79,1.08,1.334,K3III:,13.944265,0
7.22,9.87,0.6,0.351,F0/F2V,17.191586,1
9.66,5.49,2.25,0.632,G3V,18.35786,1
7.98,6.04,1.06,0.969,G6III,16.885185,0
7.25,25.78,0.82,0.57,G1V,19.306416,1
8.21,1.87,3.44,0.66,G4IV,14.569208,1
10.0,5.68,3.12,0.512,F6/F7V,18.771742,1
6.93,3.32,0.8,1.568,K4III,14.53569,0
8.26,7.81,1.1,0.976,K1III,17.723255,0
8.5,3.92,1.09,0.959,K0III,16.46643,0
7.88,32.04,1.24,0.685,G5V,20.408463,1
6.88,6.28,1.05,0.177,A3III/IV,15.869799,1
7.99,5.68,1.9,0.475,F5V,16.761742,1
6.02,8.03,0.97,1.278,K3III,15.543577,0
7.95,2.78,0.7,1.28,K3III,15.170224,0
7.84,5.42,0.95,1.479,K2III,16.509996,0
8.78,-0.73,1.24,1.556,K3/K4III,13.096614,0
8.49,7.4,0.96,0.558,G0V,17.836159,1
7.01,9.61,0.98,0.33,F0V,16.923618,1
9.12,-0.73,1.2,1.19,K3III,13.436614,0
9.85,5.23,2.52,0.698,G3/G5V,18.442509,1
7.6,17.45,0.88,0.458,F4V,18.808977,1
7.16,4.31,0.94,0.962,G4III,15.332386,0
7.99,0.56,0.93,-0.1,B3III,11.73094,0
8.85,2.8,0.9,0.995,G8III/IV,16.08579,1
8.66,1.03,0.85,0.951,G8III,13.724186,0
4.83,15.77,0.89,1.057,K1III,15.819159,0
8.53,10.76,1.14,0.54,F8V,18.68906,1
6.91,5.79,1.17,1.119,K0III,15.7233925,0
8.93,3.02,0.85,1.171,G8III,16.330036,0
8.38,2.64,1.15,1.53,K2/K3III,15.48802,0
8.15,5.98,1.03,1.03,K1III,17.033504,0
9.09,3.33,1.14,0.534,F8V,16.70222,1
9.87,48.36,1.16,1.251,M1.5Ve,23.29243,1
7.53,17.64,1.05,0.665,G3V,18.762493,1
7.69,15.27,0.89,0.488,F5V,18.609196,1
8.46,-0.15,0.78,-0.052,B8IV/V,9.340457,1
8.94,0.99,1.34,1.588,M1III,13.918176,0
8.85,5.76,1.22,0.358,F0V,17.652113,1
9.21,1.7,1.01,1.161,K1III,15.362245,0
9.19,1.71,1.72,0.033,B2Vne,15.35498,1
6.77,6.08,0.77,1.034,K0III,15.689518,0
7.68,2.87,1.15,1.549,K4III,14.96941,0
8.2,2.54,1.04,1.15,K0III,15.224169,0
7.78,6.94,0.99,0.142,A0V,16.986797,1
8.82,5.08,2.19,0.47,F6V,17.34932,1
7.9,11.16,1.12,0.21,A3III,18.13832,0
7.73,1.09,0.99,1.44,K3III,12.917132,0
9.5,8.25,1.37,0.71,G5V,19.08227,1
9.3,7.15,0.85,0.461,F6IV/V,18.57153,1
8.45,1.62,1.59,1.0,G6III,14.497575,0
8.12,26.0,0.68,0.678,G5V,20.194866,1
6.81,16.09,0.63,0.465,F5V,17.842781,1
8.09,1.39,0.74,1.04,K0III,13.805075,0
4.34,35.17,0.68,0.148,A5III,17.070862,0
5.46,2.08,1.11,-0.176,B1.5V,12.050316,1
8.95,1.62,0.79,-0.008,B8V,14.997575,1
9.54,5.78,1.29,0.986,K2III,18.34964,0
3.55,46.47,0.68,0.104,A2Vann,16.885862,1
8.55,-0.47,1.07,0.931,G8II/III,11.91049,0
8.04,1.72,1.0,0.926,G6III/IV,14.217642,1
8.57,-0.29,1.05,0.18,B2/B3III,10.8819895,0
8.06,10.46,0.69,0.452,F3/F5V,18.157658,1
9.16,7.16,0.87,0.448,F0V,18.434565,1
8.41,1.87,1.24,1.289,K0III,14.769208,0
8.48,-0.11,0.98,0.012,B7IV,8.686963,1
7.65,10.33,1.22,0.492,F7III/IV,17.7205,1
8.69,3.72,1.2,1.036,G8/K0III,16.542713,0
7.58,11.07,1.05,0.451,F3V,17.800737,1
8.02,1.64,1.02,1.589,K5/M0III,14.094219,0
6.94,3.99,1.08,0.002,B9IIIsp...,14.944864,0
8.15,5.27,1.04,0.2,A3IV/V,16.759052,1
9.21,6.27,1.54,0.655,F6/F7V,18.196339,1
9.73,0.27,1.19,-0.023,B3III,11.886818,0
8.75,-0.57,1.19,1.514,K4/K5III,12.529374,0
8.86,2.29,1.42,1.523,K3III,15.659178,0
7.48,2.36,1.12,0.16,B2III,14.34456,0
8.9,3.65,0.86,1.053,K0III,16.711464,0
9.91,17.93,5.56,0.542,F0V,21.177902,1
8.53,5.57,0.8,1.084,K1/K2III,17.259275,0
8.11,0.31,0.98,1.368,K2III,10.566808,0
9.12,2.32,0.88,0.064,B9IV,15.947439,1
7.07,6.11,0.82,0.046,B9V,16.000206,1
4.95,7.45,0.78,1.017,G4III,14.3107815,0
7.56,0.28,1.06,0.133,O7.5III,9.79579,0
8.67,7.67,1.11,0.488,F5V,18.093977,1
7.68,6.09,0.97,0.49,F3V,16.603086,1
8.59,3.0,1.35,1.497,K3III,15.975607,0
9.05,0.43,1.11,0.053,B8V,12.217342,1
8.45,1.12,0.82,0.775,G0:V+...,13.696091,1
5.71,25.89,0.95,0.36,F4V,17.775661,1
8.85,3.86,1.27,0.994,G6III,16.782936,0
7.89,3.09,0.71,1.087,K0/K1III,15.339792,0
9.86,25.75,1.11,1.119,K4/K5V,21.913885,1
5.3,8.19,0.73,0.075,A1IV/V,14.86642,1
8.01,1.03,1.19,1.073,K0III,13.074186,0
8.43,4.49,1.26,1.167,K0III,16.69123,0
6.17,43.64,0.72,0.584,F9V,19.369423,1
7.12,7.55,0.9,1.203,K2/K3III,16.509735,0
8.6,9.19,7.44,0.527,F6V,18.416578,1
8.29,5.28,0.77,0.362,F2V,16.90317,1
4.68,13.0,0.59,0.971,G8III-IV...,15.249716,1
7.66,3.61,0.65,1.265,K2III,15.447536,0
7.71,1.16,0.8,1.667,M1III,13.0322895,0
8.48,8.59,0.67,0.524,F7V,18.149965,1
7.57,0.73,0.98,-0.023,B7II,11.886614,0
7.2,2.35,0.57,1.566,K3/K4III,14.05534,0
9.28,-0.84,1.15,0.053,B1.5Ve,13.901396,1
6.97,7.96,0.85,0.345,F0V,16.474566,1
8.73,9.49,1.24,0.966,G8III,18.61633,0
8.44,15.62,1.56,0.575,F8V,19.408405,1
9.17,24.81,1.55,0.889,K2IV/Vp...,21.143133,1
4.91,3.93,0.96,1.32,K3II-III,12.881963,0
5.6,18.83,0.8,0.218,A5III-IV,16.974253,1
8.16,1.8,1.18,-0.035,B5III,14.436362,0
9.7,4.57,3.74,1.147,G8III:,17.99958,0
8.25,11.78,1.06,0.517,F6/F7V,18.605726,1
9.61,12.14,1.8,0.667,G5V,20.031094,1
4.74,17.93,0.61,0.938,G8III,16.0079,0
8.26,6.61,1.26,0.414,F2V,17.361008,1
8.57,1.33,1.59,-0.043,B8IV/V,14.189259,1
