Vmag,Plx,e_Plx,B-V,Amag,Temperature,Amag^2,log_Vmag,Vmag-Amag
8.26,3.21,1.0,1.13,15.792525,4450.829467005808,249.403845875625,2.1114245875328868,-7.532525
8.27,12.75,1.06,0.596,18.797552,5983.249561845766,353.34796119270396,2.1126345090356,-10.527552
6.54,5.23,0.76,1.189,15.132508,4330.424364095317,228.99279837006398,1.8779371654691073,-8.592507999999999
8.52,0.96,0.72,0.173,13.431356,8378.02950557896,180.401323998736,2.1424163408412245,-4.911356
6.09,6.02,0.95,0.04,14.987983,9652.203136124454,224.639634408289,1.8066480817218056,-8.897983
7.94,5.36,0.61,1.066,16.585825,4589.663739025218,275.089590930625,2.0719132752590443,-8.645824999999999
6.81,13.13,1.04,1.03,17.401323,4671.844617825824,302.80604215032906,1.918392120161421,-10.591323000000003
7.68,0.66,0.62,0.013,11.7777195,9965.920372897095,138.71467662068025,2.038619547159581,-4.0977195
8.78,8.26,1.14,0.682,18.364899,5663.9725514950815,337.26951528020106,2.172476407647025,-9.584899000000002
7.97,9.02,2.5,0.556,17.746033,6145.345417921852,314.92168723708903,2.075684492802124,-9.776033000000002
5.18,2.52,0.55,-0.274,12.187002,15679.689085545915,148.52301774800398,1.6448050562713916,-7.007002
8.86,2.49,1.27,1.063,15.840996,4596.395737430539,250.93715427201602,2.1815467646169897,-6.980996000000001
8.73,2.29,1.08,-0.035,15.529177,10583.915560759955,241.15533829732902,2.166765369851511,-6.799177
7.59,6.13,0.9,0.043,16.527302,9618.693380381961,273.151711399204,2.0268315914075385,-8.937301999999999
8.34,6.04,1.85,0.375,17.245186,7016.228131294576,297.396440174596,2.1210632163706555,-8.905186
5.26,9.55,0.49,0.973,15.160017,4808.5134012449425,229.826115440289,1.6601310267496185,-9.900017
7.36,11.4,0.91,0.701,17.644524,5598.281010889183,311.329227186576,1.9960599327407849,-10.284524000000001
7.43,2.98,0.79,1.234,14.801081,4243.079226783708,219.071998768561,2.005525858729668,-7.371081
8.94,3.23,1.58,0.801,16.486012,5277.659008876406,271.78859166414395,2.190535589185423,-7.546011999999999
5.97,2.89,0.83,0.953,13.274489,4858.492605410197,176.21205821112102,1.7867469274045107,-7.304489000000001
7.7,2.26,1.28,1.271,14.470542,4173.97632338522,209.396585773764,2.0412203288596382,-6.770542
7.38,7.84,0.56,0.564,16.851582,6112.1738840087655,283.97581590272404,1.998773638612381,-9.471582000000001
8.13,1.84,0.99,0.928,14.454089,4922.533633934866,208.920688819921,2.0955609235597192,-6.324088999999999
7.66,5.76,0.99,0.168,16.462112,8419.228311304576,271.00113150054403,2.0360119837525,-8.802112000000001
8.18,4.5,1.05,1.48,16.446064,3823.8388417760084,270.473021092096,2.1016921506146558,-8.266064
6.77,2.8,0.56,1.554,14.005791,3714.051590679939,196.16218153568101,1.9125010869241836,-7.235791000000001
6.73,2.43,0.73,1.614,13.658031,3629.722175334783,186.541810796961,1.9065751436566365,-6.928030999999999
9.25,1.17,1.59,1.705,14.590929,3509.1305930986946,212.89520908304098,2.224623551524334,-5.340928999999999
4.73,0.7,0.48,0.164,8.95549,8452.510597362243,80.20080114009998,1.5539252025038417,-4.225489999999999
2.54,14.82,0.83,1.63,13.394242,3607.90050634042,179.405718754564,0.9321640810304452,-10.854242
7.3,7.94,0.58,1.14,16.799103,4429.9292249343425,282.20986160460893,1.9878743481543455,-9.499102999999998
5.16,12.33,0.47,0.96,15.614816,4840.87544177459,243.822478713856,1.6409365794934714,-10.454816
7.28,13.24,0.69,0.445,17.88944,6649.3373937737115,320.0320635136,1.9851308622085946,-10.60944
8.81,6.58,1.33,0.465,17.90113,6552.008109552954,320.45045527689996,2.175887439948088,-9.091129999999998
8.74,39.32,1.33,1.035,21.713068,4660.245577327604,471.457321972624,2.167910189667444,-12.973068
9.11,8.91,1.21,0.805,18.859388,5265.643815233092,355.67651573454395,2.209372711271867,-9.749388
6.83,3.18,0.75,1.484,14.342135,3817.732081562202,205.69683635822503,1.9213246735826988,-7.512135000000001
8.55,3.47,0.75,1.017,16.251648,4702.288978033507,264.116062715904,2.145931282948669,-7.701647999999999
9.09,7.61,1.25,0.793,18.496923,5301.865275380245,342.13616046792896,2.2071749081893874,-9.406922999999999
7.66,1.49,0.96,1.693,13.525931,3524.5559974519037,182.950809416761,2.0360119837525,-5.865931
9.58,3.2,0.96,0.333,17.10575,7258.381277715198,292.6066830625,2.259677591982769,-7.52575
